sample_id,chromosome,gene_location,sequence_length,acceptance_status,acceptance_score,file_path
0,chr22,10,5999,True,-906.3223727166925,chr22/10_sample_0.fasta
1,chr22,10,16272,True,-2302.3155958605194,chr22/10_sample_1.fasta
2,chr22,10,10718,True,-1552.3261702298958,chr22/10_sample_2.fasta
3,chr22,10,21867,True,-3197.410436432004,chr22/10_sample_3.fasta
4,chr22,10,499,True,-70.7610597380219,chr22/10_sample_4.fasta
5,chr22,10,10397,True,-1487.0139872538493,chr22/10_sample_5.fasta
6,chr22,10,4737,True,-706.5375485796473,chr22/10_sample_6.fasta
7,chr22,10,12365,True,-1800.069483894607,chr22/10_sample_7.fasta
8,chr22,10,15909,True,-2259.707370806144,chr22/10_sample_8.fasta
9,chr22,10,29778,True,-4437.62899402025,chr22/10_sample_9.fasta
10,chr22,10,10980,True,-1617.939586311771,chr22/10_sample_10.fasta
11,chr22,10,94572,True,-13620.497133521798,chr22/10_sample_11.fasta
12,chr22,10,4274,True,-649.8829298439086,chr22/10_sample_12.fasta
13,chr22,10,25602,True,-3746.8447608095707,chr22/10_sample_13.fasta
14,chr22,10,23083,True,-3309.4261486436644,chr22/10_sample_14.fasta
15,chr22,10,22351,True,-3312.7761896431666,chr22/10_sample_15.fasta
16,chr22,10,1482,True,-216.74098379709721,chr22/10_sample_16.fasta
17,chr22,10,56002,True,-8086.757084985922,chr22/10_sample_17.fasta
18,chr22,10,19789,True,-2871.3550423973184,chr22/10_sample_18.fasta
19,chr22,10,21024,True,-3132.7121825685895,chr22/10_sample_19.fasta
20,chr22,10,19866,True,-2965.4667109500756,chr22/10_sample_20.fasta
21,chr22,10,39496,True,-5852.860439183237,chr22/10_sample_21.fasta
22,chr22,10,15167,True,-2152.949153966515,chr22/10_sample_22.fasta
23,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_23.fasta
24,chr22,10,4051,True,-623.6611200182892,chr22/10_sample_24.fasta
25,chr22,10,16533,True,-2377.9228426750747,chr22/10_sample_25.fasta
26,chr22,10,16896,True,-2430.038127153747,chr22/10_sample_26.fasta
27,chr22,10,17766,True,-2589.5818498505896,chr22/10_sample_27.fasta
28,chr22,10,11568,True,-1662.4458909700197,chr22/10_sample_28.fasta
29,chr22,10,98610,True,-14312.00161597979,chr22/10_sample_29.fasta
30,chr22,10,2117,True,-345.1180973031004,chr22/10_sample_30.fasta
31,chr22,10,54154,True,-7911.143819331884,chr22/10_sample_31.fasta
32,chr22,10,31949,True,-4581.058344395044,chr22/10_sample_32.fasta
33,chr22,10,39060,True,-5754.852555685184,chr22/10_sample_33.fasta
34,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_34.fasta
35,chr22,10,32079,True,-4721.5723090775555,chr22/10_sample_35.fasta
36,chr22,10,6466,True,-1002.6969328812785,chr22/10_sample_36.fasta
37,chr22,10,878,True,-124.25117567679416,chr22/10_sample_37.fasta
38,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_38.fasta
39,chr22,10,28051,True,-3923.7286259214325,chr22/10_sample_39.fasta
40,chr22,10,36053,True,-5224.042524213851,chr22/10_sample_40.fasta
41,chr22,10,1893,True,-279.3597961188052,chr22/10_sample_41.fasta
42,chr22,10,13422,True,-1939.7589673274974,chr22/10_sample_42.fasta
43,chr22,10,7469,True,-1056.0035987498718,chr22/10_sample_43.fasta
44,chr22,10,22227,True,-3358.877252667096,chr22/10_sample_44.fasta
45,chr22,10,20110,True,-2923.8372270163336,chr22/10_sample_45.fasta
46,chr22,10,16521,True,-2462.9058148449,chr22/10_sample_46.fasta
47,chr22,10,1749,True,-269.21170551509704,chr22/10_sample_47.fasta
48,chr22,10,48687,True,-7134.864828708651,chr22/10_sample_48.fasta
49,chr22,10,15874,True,-2363.156199746388,chr22/10_sample_49.fasta
50,chr22,10,11377,True,-1625.9832214394175,chr22/10_sample_50.fasta
51,chr22,10,8630,True,-1193.9669897480494,chr22/10_sample_51.fasta
52,chr22,10,15665,True,-2374.248642767718,chr22/10_sample_52.fasta
53,chr22,10,2529,True,-364.1864202851881,chr22/10_sample_53.fasta
54,chr22,10,25615,True,-3782.3130500537836,chr22/10_sample_54.fasta
55,chr22,10,42048,True,-6107.222528646764,chr22/10_sample_55.fasta
56,chr22,10,9443,True,-1367.3079890215383,chr22/10_sample_56.fasta
57,chr22,10,19260,True,-2830.538576812168,chr22/10_sample_57.fasta
58,chr22,10,2899,True,-411.6737776702336,chr22/10_sample_58.fasta
59,chr22,10,31627,True,-4529.269306956594,chr22/10_sample_59.fasta
60,chr22,10,12904,True,-1891.6691437307925,chr22/10_sample_60.fasta
61,chr22,10,21177,True,-3065.227788949578,chr22/10_sample_61.fasta
62,chr22,10,11339,True,-1594.5695832762888,chr22/10_sample_62.fasta
63,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_63.fasta
64,chr22,10,947,True,-131.99357769860998,chr22/10_sample_64.fasta
65,chr22,10,8621,True,-1186.1724717250972,chr22/10_sample_65.fasta
66,chr22,10,15340,True,-2178.7383966172742,chr22/10_sample_66.fasta
67,chr22,10,4449,True,-625.7270105265909,chr22/10_sample_67.fasta
68,chr22,10,55675,True,-8058.299485615189,chr22/10_sample_68.fasta
69,chr22,10,8170,True,-1189.219191486407,chr22/10_sample_69.fasta
70,chr22,10,26692,True,-3846.82785384702,chr22/10_sample_70.fasta
71,chr22,10,26254,True,-3833.3047083094048,chr22/10_sample_71.fasta
72,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_72.fasta
73,chr22,10,24755,True,-3655.990364155062,chr22/10_sample_73.fasta
74,chr22,10,16918,True,-2445.6949183665497,chr22/10_sample_74.fasta
75,chr22,10,3046,True,-407.1229805121441,chr22/10_sample_75.fasta
76,chr22,10,64731,True,-9460.51957048331,chr22/10_sample_76.fasta
77,chr22,10,86832,True,-12599.736277396732,chr22/10_sample_77.fasta
78,chr22,10,8947,True,-1385.6560627563088,chr22/10_sample_78.fasta
79,chr22,10,18458,True,-2566.485977854171,chr22/10_sample_79.fasta
80,chr22,10,8720,True,-1289.675504798834,chr22/10_sample_80.fasta
81,chr22,10,16684,True,-2468.253991185817,chr22/10_sample_81.fasta
82,chr22,10,33384,True,-4957.232975699336,chr22/10_sample_82.fasta
83,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_83.fasta
84,chr22,10,7977,True,-1257.188268281414,chr22/10_sample_84.fasta
85,chr22,10,30533,True,-4446.379327361833,chr22/10_sample_85.fasta
86,chr22,10,39896,True,-5732.5926278393745,chr22/10_sample_86.fasta
87,chr22,10,15983,True,-2312.805572670193,chr22/10_sample_87.fasta
88,chr22,10,6099,True,-907.2239839018063,chr22/10_sample_88.fasta
89,chr22,10,19410,True,-2823.2131027994674,chr22/10_sample_89.fasta
90,chr22,10,315,True,-42.328474301685745,chr22/10_sample_90.fasta
91,chr22,10,11054,True,-1580.4846246271586,chr22/10_sample_91.fasta
92,chr22,10,64226,True,-9282.287975978103,chr22/10_sample_92.fasta
93,chr22,10,20538,True,-3035.6715772901907,chr22/10_sample_93.fasta
94,chr22,10,1641,True,-242.9106776215798,chr22/10_sample_94.fasta
95,chr22,10,56415,True,-8292.363305738936,chr22/10_sample_95.fasta
96,chr22,10,9715,True,-1421.4912521408696,chr22/10_sample_96.fasta
97,chr22,10,1428,True,-179.02335397440828,chr22/10_sample_97.fasta
98,chr22,10,51207,True,-7427.599130207676,chr22/10_sample_98.fasta
99,chr22,10,1171,True,-157.52224034367163,chr22/10_sample_99.fasta
100,chr22,10,5846,True,-853.5639689262428,chr22/10_sample_100.fasta
101,chr22,10,39276,True,-5742.677139540939,chr22/10_sample_101.fasta
102,chr22,10,48443,True,-7045.800103390999,chr22/10_sample_102.fasta
103,chr22,10,194440,True,-28241.355131144104,chr22/10_sample_103.fasta
104,chr22,10,3026,True,-450.37223674593434,chr22/10_sample_104.fasta
105,chr22,10,34851,True,-5091.454411623312,chr22/10_sample_105.fasta
106,chr22,10,14145,True,-2039.7305974639162,chr22/10_sample_106.fasta
107,chr22,10,2269,True,-327.72375075458444,chr22/10_sample_107.fasta
108,chr22,10,34108,True,-4957.008872529027,chr22/10_sample_108.fasta
109,chr22,10,364,True,-40.13124972434952,chr22/10_sample_109.fasta
110,chr22,10,17568,True,-2567.0477909657,chr22/10_sample_110.fasta
111,chr22,10,3520,True,-541.3850695362157,chr22/10_sample_111.fasta
112,chr22,10,97942,True,-14326.652564005162,chr22/10_sample_112.fasta
113,chr22,10,103,True,-13.386191754963454,chr22/10_sample_113.fasta
114,chr22,10,18795,True,-2742.9643778579134,chr22/10_sample_114.fasta
115,chr22,10,55571,True,-8067.8107213041985,chr22/10_sample_115.fasta
116,chr22,10,1853,True,-285.4417727404276,chr22/10_sample_116.fasta
117,chr22,10,50074,True,-7106.706374311381,chr22/10_sample_117.fasta
118,chr22,10,50617,True,-7488.385529960028,chr22/10_sample_118.fasta
119,chr22,10,102498,True,-14886.976065903444,chr22/10_sample_119.fasta
120,chr22,10,40580,True,-5921.24853211974,chr22/10_sample_120.fasta
121,chr22,10,737,True,-119.68682748532633,chr22/10_sample_121.fasta
122,chr22,10,33816,True,-5018.19136262086,chr22/10_sample_122.fasta
123,chr22,10,6500,True,-990.7685457093439,chr22/10_sample_123.fasta
124,chr22,10,25335,True,-3641.654200268846,chr22/10_sample_124.fasta
125,chr22,10,63204,True,-9083.862344135401,chr22/10_sample_125.fasta
126,chr22,10,29829,True,-4304.753199357272,chr22/10_sample_126.fasta
127,chr22,10,17400,True,-2431.21595751031,chr22/10_sample_127.fasta
128,chr22,10,5288,True,-771.759050586796,chr22/10_sample_128.fasta
129,chr22,10,86570,True,-12456.295464120909,chr22/10_sample_129.fasta
130,chr22,10,38843,True,-5658.255980482645,chr22/10_sample_130.fasta
131,chr22,10,6049,True,-915.5688521352847,chr22/10_sample_131.fasta
132,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_132.fasta
133,chr22,10,12627,True,-1803.3382186938543,chr22/10_sample_133.fasta
134,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_134.fasta
135,chr22,10,2721,True,-391.67674143627323,chr22/10_sample_135.fasta
136,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_136.fasta
137,chr22,10,7517,True,-1044.7297937907397,chr22/10_sample_137.fasta
138,chr22,10,14974,True,-2178.4528026772005,chr22/10_sample_138.fasta
139,chr22,10,38319,True,-5624.461667672017,chr22/10_sample_139.fasta
140,chr22,10,23960,True,-3395.362847999741,chr22/10_sample_140.fasta
141,chr22,10,29999,True,-4288.9536111744355,chr22/10_sample_141.fasta
142,chr22,10,15559,True,-2236.872078815422,chr22/10_sample_142.fasta
143,chr22,10,55618,True,-8040.289121821648,chr22/10_sample_143.fasta
144,chr22,10,6909,True,-1043.0037013560275,chr22/10_sample_144.fasta
145,chr22,10,27975,True,-3958.530870051835,chr22/10_sample_145.fasta
146,chr22,10,24332,True,-3446.984074533758,chr22/10_sample_146.fasta
147,chr22,10,8093,True,-1208.706530609983,chr22/10_sample_147.fasta
148,chr22,10,54062,True,-7824.774552800944,chr22/10_sample_148.fasta
149,chr22,10,36335,True,-5284.935244100833,chr22/10_sample_149.fasta
150,chr22,10,18347,True,-2563.4892859616266,chr22/10_sample_150.fasta
151,chr22,10,17590,True,-2538.9956567030845,chr22/10_sample_151.fasta
152,chr22,10,15585,True,-2251.323937604902,chr22/10_sample_152.fasta
153,chr22,10,34474,True,-4947.590405941284,chr22/10_sample_153.fasta
154,chr22,10,4239,True,-549.5058345993826,chr22/10_sample_154.fasta
155,chr22,10,22053,True,-3180.435106024964,chr22/10_sample_155.fasta
156,chr22,10,49848,True,-7237.609047567293,chr22/10_sample_156.fasta
157,chr22,10,44296,True,-6401.234716239903,chr22/10_sample_157.fasta
158,chr22,10,23267,True,-3461.777819529203,chr22/10_sample_158.fasta
159,chr22,10,15681,True,-2304.657705540274,chr22/10_sample_159.fasta
160,chr22,10,16864,True,-2341.3945061099557,chr22/10_sample_160.fasta
161,chr22,10,8979,True,-1343.5825487467098,chr22/10_sample_161.fasta
162,chr22,10,5767,True,-846.6324971206436,chr22/10_sample_162.fasta
163,chr22,10,13446,True,-1956.6686307000057,chr22/10_sample_163.fasta
164,chr22,10,21899,True,-3165.4985640594728,chr22/10_sample_164.fasta
165,chr22,10,360,True,-44.98327998826915,chr22/10_sample_165.fasta
166,chr22,10,264,True,-44.931163987130134,chr22/10_sample_166.fasta
167,chr22,10,22598,True,-3225.802368768212,chr22/10_sample_167.fasta
168,chr22,10,95088,True,-13815.970902836827,chr22/10_sample_168.fasta
169,chr22,10,57831,True,-8423.277441895885,chr22/10_sample_169.fasta
170,chr22,10,44025,True,-6528.09628944813,chr22/10_sample_170.fasta
171,chr22,10,27644,True,-4012.6620171700315,chr22/10_sample_171.fasta
172,chr22,10,24443,True,-3607.8077714570773,chr22/10_sample_172.fasta
173,chr22,10,29636,True,-4400.158393169881,chr22/10_sample_173.fasta
174,chr22,10,13864,True,-2033.9227518813675,chr22/10_sample_174.fasta
175,chr22,10,884,True,-145.97430434546527,chr22/10_sample_175.fasta
176,chr22,10,9281,True,-1330.661869420762,chr22/10_sample_176.fasta
177,chr22,10,37669,True,-5389.926715405641,chr22/10_sample_177.fasta
178,chr22,10,318,True,-50.52845743274873,chr22/10_sample_178.fasta
179,chr22,10,16149,True,-2372.3641141972234,chr22/10_sample_179.fasta
180,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_180.fasta
181,chr22,10,24675,True,-3622.3774132822114,chr22/10_sample_181.fasta
182,chr22,10,43721,True,-6324.361046232221,chr22/10_sample_182.fasta
183,chr22,10,30535,True,-4510.658565083754,chr22/10_sample_183.fasta
184,chr22,10,17551,True,-2508.0646135835746,chr22/10_sample_184.fasta
185,chr22,10,63832,True,-9356.545405266932,chr22/10_sample_185.fasta
186,chr22,10,144,True,-21.534058884887397,chr22/10_sample_186.fasta
187,chr22,10,7931,True,-1148.4412908690313,chr22/10_sample_187.fasta
188,chr22,10,3543,True,-526.0701645293806,chr22/10_sample_188.fasta
189,chr22,10,124863,True,-17942.706591404294,chr22/10_sample_189.fasta
190,chr22,10,46207,True,-6891.871401437883,chr22/10_sample_190.fasta
191,chr22,10,13069,True,-1937.1312637076724,chr22/10_sample_191.fasta
192,chr22,10,17146,True,-2456.3391550472747,chr22/10_sample_192.fasta
193,chr22,10,50939,True,-7601.918870601828,chr22/10_sample_193.fasta
194,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_194.fasta
195,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_195.fasta
196,chr22,10,538,True,-63.76392089790506,chr22/10_sample_196.fasta
197,chr22,10,16052,True,-2323.6468104544624,chr22/10_sample_197.fasta
198,chr22,10,6887,True,-1016.3357733221635,chr22/10_sample_198.fasta
199,chr22,10,24352,True,-3580.342464240368,chr22/10_sample_199.fasta
200,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_200.fasta
201,chr22,10,23437,True,-3286.8535247909977,chr22/10_sample_201.fasta
202,chr22,10,49164,True,-7039.4054307625165,chr22/10_sample_202.fasta
203,chr22,10,6328,True,-893.492374359645,chr22/10_sample_203.fasta
204,chr22,10,81372,True,-11875.590298550247,chr22/10_sample_204.fasta
205,chr22,10,4545,True,-671.5268404446836,chr22/10_sample_205.fasta
206,chr22,10,11533,True,-1653.185860518051,chr22/10_sample_206.fasta
207,chr22,10,36629,True,-5306.370690697065,chr22/10_sample_207.fasta
208,chr22,10,36827,True,-5454.167388159787,chr22/10_sample_208.fasta
209,chr22,10,88687,True,-12849.454800600892,chr22/10_sample_209.fasta
210,chr22,10,2035,True,-297.27739081108575,chr22/10_sample_210.fasta
211,chr22,10,8404,True,-1267.4812439875366,chr22/10_sample_211.fasta
212,chr22,10,10426,True,-1522.978422575066,chr22/10_sample_212.fasta
213,chr22,10,10279,True,-1444.2994420648267,chr22/10_sample_213.fasta
214,chr22,10,20761,True,-2972.803647863766,chr22/10_sample_214.fasta
215,chr22,10,4608,True,-703.0853637102263,chr22/10_sample_215.fasta
216,chr22,10,8951,True,-1354.9220207403614,chr22/10_sample_216.fasta
217,chr22,10,82,True,-12.980726646855288,chr22/10_sample_217.fasta
218,chr22,10,14352,True,-2029.1092865852058,chr22/10_sample_218.fasta
219,chr22,10,15455,True,-2203.7844642187138,chr22/10_sample_219.fasta
220,chr22,10,7376,True,-1096.964949437424,chr22/10_sample_220.fasta
221,chr22,10,6398,True,-926.1880748816158,chr22/10_sample_221.fasta
222,chr22,10,21848,True,-3188.7393211583026,chr22/10_sample_222.fasta
223,chr22,10,111764,True,-16250.187083821349,chr22/10_sample_223.fasta
224,chr22,10,9392,True,-1350.815253658141,chr22/10_sample_224.fasta
225,chr22,10,36195,True,-5323.135468967182,chr22/10_sample_225.fasta
226,chr22,10,9886,True,-1387.1215751853256,chr22/10_sample_226.fasta
227,chr22,10,17257,True,-2471.5748419862052,chr22/10_sample_227.fasta
228,chr22,10,11911,True,-1745.976901744178,chr22/10_sample_228.fasta
229,chr22,10,33308,True,-4818.23455131462,chr22/10_sample_229.fasta
230,chr22,10,9653,True,-1415.9325236630139,chr22/10_sample_230.fasta
231,chr22,10,43891,True,-6335.045936013082,chr22/10_sample_231.fasta
232,chr22,10,100606,True,-14692.647826374292,chr22/10_sample_232.fasta
233,chr22,10,28414,True,-4185.0857660927,chr22/10_sample_233.fasta
234,chr22,10,9171,True,-1305.525120850435,chr22/10_sample_234.fasta
235,chr22,10,13017,True,-1882.4883313467171,chr22/10_sample_235.fasta
236,chr22,10,4408,True,-632.3572492263593,chr22/10_sample_236.fasta
237,chr22,10,47036,True,-6879.0257639150905,chr22/10_sample_237.fasta
238,chr22,10,6554,True,-1021.52968979205,chr22/10_sample_238.fasta
239,chr22,10,23176,True,-3366.3955515186162,chr22/10_sample_239.fasta
240,chr22,10,44520,True,-6593.734719464415,chr22/10_sample_240.fasta
241,chr22,10,6177,True,-870.2787193275773,chr22/10_sample_241.fasta
242,chr22,10,12972,True,-1780.1381146951655,chr22/10_sample_242.fasta
243,chr22,10,37856,True,-5606.412738910686,chr22/10_sample_243.fasta
244,chr22,10,26671,True,-3996.615400014867,chr22/10_sample_244.fasta
245,chr22,10,35195,True,-5141.612213860682,chr22/10_sample_245.fasta
246,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_246.fasta
247,chr22,10,8220,True,-1195.35328410917,chr22/10_sample_247.fasta
248,chr22,10,34,True,-1.7725887222397811,chr22/10_sample_248.fasta
249,chr22,10,36030,True,-5168.669967836927,chr22/10_sample_249.fasta
250,chr22,10,14263,True,-2121.574080771141,chr22/10_sample_250.fasta
251,chr22,10,61754,True,-9046.183279280469,chr22/10_sample_251.fasta
252,chr22,10,16136,True,-2404.523015542058,chr22/10_sample_252.fasta
253,chr22,10,6968,True,-983.8506249371234,chr22/10_sample_253.fasta
254,chr22,10,68726,True,-10063.573256736345,chr22/10_sample_254.fasta
255,chr22,10,37707,True,-5547.118953654084,chr22/10_sample_255.fasta
256,chr22,10,4976,True,-693.2635201467317,chr22/10_sample_256.fasta
257,chr22,10,9755,True,-1438.1924515088244,chr22/10_sample_257.fasta
258,chr22,10,3851,True,-568.5877086148487,chr22/10_sample_258.fasta
